time,open,high,low,close,tick_volume,spread,real_volume
1578182400,1575.89,1611.35,1540.2,1561.76,538320,7,0
1578787200,1559.55,1561.21,1535.96,1556.83,361530,7,0
1579392000,1559.0,1575.95,1546.3,1570.9,346902,7,0
1579996800,1580.71,1590.48,1563.35,1588.83,454810,7,0
1580601600,1588.65,1592.0,1547.38,1570.0,425095,7,0
1581206400,1569.27,1585.01,1561.92,1583.69,353672,7,0
1581811200,1581.25,1649.23,1578.85,1643.73,411312,7,0
1582416000,1659.37,1689.25,1562.93,1584.7,844162,7,0
1583020800,1581.79,1692.09,1575.31,1674.06,728100,7,0
1583625600,1695.92,1703.44,1504.62,1529.78,774467,2,0
1584230400,1543.04,1562.94,1451.13,1498.64,861612,2,0
1584835200,1490.2,1644.37,1485.0,1622.55,359304,0,0
1585440000,1619.97,1632.25,1569.33,1615.7,389849,0,0
1586044800,1614.62,1690.43,1608.35,1683.56,379776,2,0
1586649600,1677.47,1747.4,1674.98,1682.14,549614,18,0
1587254400,1683.02,1738.78,1660.03,1726.41,666507,18,0
1587859200,1722.32,1727.59,1670.4,1699.6,645009,18,0
1588464000,1698.03,1723.6,1681.14,1702.09,475375,18,0
1589068800,1702.38,1751.68,1691.53,1741.85,616666,18,0
1589673600,1747.36,1765.08,1717.1,1735.45,643360,18,0
1590278400,1732.11,1737.69,1693.62,1730.41,445363,0,0
1590883200,1735.4,1745.09,1670.55,1684.3,465207,5,0
1591488000,1680.52,1744.63,1677.22,1730.57,491961,5,0
1592092800,1730.76,1745.28,1704.11,1742.26,445889,5,0
1592697600,1747.68,1779.43,1742.74,1769.57,441284,5,0
1593302400,1770.32,1789.08,1757.43,1774.9,314619,5,0
1593907200,1773.37,1817.92,1769.86,1798.57,341523,5,0
1594512000,1799.11,1815.04,1790.63,1809.68,328959,5,0
1595116800,1808.04,1906.5,1805.62,1901.63,515071,5,0
1595721600,1902.64,1983.97,1902.54,1975.02,659360,5,0
1596326400,1983.53,2074.87,1960.39,2033.15,669732,5,0
